Pheno	ID	REF	ALT	A1	FIRTH.	TEST	OBS_CT	nCases	OR	LOG.OR._SE	L95	U95	Z_STAT	P	ERRCODE	mlog10P	FDR_BY
CD2_BENIGN_COLORECANI	Bw4_3DL1	P	A	P	N	ADD	336732	19255	1.25636	0.0693014	1.09679	1.43914	3.29315	0.000990722	.	3.00404819294515	1
C3_THYROID_GLAND	KIR_2DL3	P	A	P	Y	ADD	336732	1803	0.745048	0.0895859	0.62507	0.888056	-3.28518	0.00101916	.	2.99175762986761	1
J10_NECROTIC	KIR_2DL3	P	A	P	Y	ADD	336732	1350	0.723866	0.0994606	0.595658	0.879669	-3.24902	0.00115805	.	2.93627268909277	1
G6_OTHNEU	C1_2DL2	P	A	P	N	ADD	336732	25214	0.900491	0.0323069	0.845239	0.959354	-3.24436	0.00117715	.	2.92916819304309	1
G6_CLUSTHEADACHE_WIDE_INCLAVO	KIR_2DL2	P	A	P	N	ADD	336732	1297	0.826253	0.059002	0.736021	0.927546	-3.23471	0.00121764	.	2.91448109357782	1
T1D_ICD9_10	KIR_2DS1	P	A	P	N	ADD	336732	9133	0.930655	0.0222813	0.890888	0.972198	-3.22541	0.00125792	.	2.90034697786001	1
K11_PULPITIS_3	KIR_2DL1	P	A	P	Y	ADD	336732	4752	0.708577	0.107014	0.574509	0.873932	-3.21917	0.00128561	.	2.8908907581116	1
K11_IBD_STRICT	Bw4_3DL1	P	A	P	N	ADD	336732	7647	1.42224	0.11134	1.14341	1.76907	3.16359	0.00155837	.	2.80732942093765	1
CD2_BENIGN_COLON_NOS	Bw4_3DL1	P	A	P	N	ADD	336732	6527	1.44596	0.116615	1.15052	1.81727	3.1623	0.00156528	.	2.80540796381846	1
H8_INNER	KIR_2DS1	P	A	P	N	ADD	336732	17107	0.948981	0.016627	0.918553	0.980416	-3.14951	0.00163546	.	2.78636007336212	1
K11_PULPITIS_3_ONLYAVO	KIR_2DP1	P	A	P	Y	ADD	336732	4382	0.707309	0.110386	0.569703	0.878152	-3.13707	0.00170647	.	2.76790134228073	1
N14_GENITOUROTH	C1_2DL2	P	A	P	N	ADD	336732	3244	1.30989	0.0867618	1.10506	1.5527	3.11135	0.00186235	.	2.729938696725	1
C3_OESOPHAGUS	KIR_2DS1	P	A	P	Y	ADD	336732	598	0.767644	0.0852702	0.649498	0.907281	-3.10107	0.00192821	.	2.71484566914965	1
CD2_INSITU_MELANOMA	C1_2DL2	P	A	P	Y	ADD	336732	882	0.607902	0.161933	0.442584	0.834971	-3.07375	0.0021139	.	2.67491556124591	1
OPER_SHA04	KIR_2DS2	P	A	P	Y	ADD	336732	704	1.25513	0.0755729	1.08234	1.45552	3.00693	0.00263896	.	2.57856719254271	1
CD2_BENIGN_BRAIN_CNS	KIR_2DS1	P	A	P	Y	ADD	336732	1688	1.1647	0.0508192	1.05429	1.28669	3.00019	0.00269812	.	2.56893873880834	1
ST19_COMPLICATIO_SURGI_MEDICAL_CARE_NOT_ELSEW_CLASSIFIED	C1_2DL2	P	A	P	N	ADD	336732	38301	1.08302	0.026652	1.02789	1.14109	2.99223	0.0027695	.	2.5575986305173	1
K11_PULPITIS_3_ONLYAVO	KIR_2DL1	P	A	P	Y	ADD	336732	4382	0.716795	0.111511	0.576072	0.891893	-2.98596	0.0028269	.	2.54868955416217	1
D3_IMMUNEMECHANISM	KIR_2DL5	P	A	P	N	ADD	336732	5507	0.916074	0.0294288	0.864731	0.970467	-2.97863	0.00289536	.	2.5382974297627	1
CD2_BENIGN_BONE_SCAPULA_LONG_UPPER	C1_2DL2	P	A	P	Y	ADD	336732	252	2.38522	0.292127	1.34546	4.22851	2.97573	0.00292287	.	2.53419050025603	1
RX_CROHN_2NDLINE	C1_2DL2	P	A	P	N	ADD	336732	19241	1.11189	0.0362143	1.03571	1.19368	2.92879	0.0034028	.	2.46816357586714	1
OPER_SHA04	KIR_2DL2	P	A	P	Y	ADD	336732	704	1.24733	0.0757781	1.07518	1.44705	2.9165	0.00353981	.	2.45102004819061	1
C3_ENDOCRINE	KIR_2DL3	P	A	P	Y	ADD	336732	1932	0.774153	0.087885	0.651656	0.919675	-2.91274	0.00358271	.	2.44578834407974	1
C3_MELANOMA_SKIN	KIR_2DL1	P	A	P	N	ADD	336732	3023	0.701093	0.122246	0.551721	0.890905	-2.90492	0.0036735	.	2.4349199558196	1
MIGRAINE_TRIPTAN	KIR_2DS3	P	A	P	N	ADD	336732	37833	0.959823	0.0141184	0.933627	0.986753	-2.90448	0.00367859	.	2.43431861408792	1
TRIPTAN1	KIR_2DS3	P	A	P	N	ADD	336732	37833	0.959823	0.0141184	0.933627	0.986753	-2.90448	0.00367859	.	2.43431861408792	1
H7_STRABISMUS	KIR_2DP1	P	A	P	N	ADD	336732	8502	1.32724	0.0977713	1.09579	1.60758	2.89553	0.00378515	.	2.42191690536299	1
CD2_BENIGN_SIGMOID_COLON	KIR_2DL3	P	A	P	Y	ADD	336732	4680	0.845837	0.0582865	0.754524	0.948201	-2.87251	0.00407228	.	2.39016236861965	1
CD2_BENIGN_BRAIN_CNS	KIR_3DS1	P	A	P	Y	ADD	336732	1688	1.16072	0.0523006	1.04764	1.28602	2.84975	0.00437532	.	2.35899017826407	1
Q17_OTHER_CONGEN_MALFO	KIR_3DL1	P	A	P	N	ADD	336732	2487	0.806133	0.0757018	0.694975	0.93507	-2.84678	0.0044164	.	2.35493159879209	1
Q17_OTHER_CONGEN_MALFO	KIR_2DS4	P	A	P	N	ADD	336732	2487	0.80643	0.0757209	0.695205	0.935449	-2.8412	0.00449437	.	2.34733117705624	1
CD2_BENIGN_LIVER	C1_2DL2	P	A	P	Y	ADD	336732	505	1.8068	0.208859	1.19986	2.72076	2.83233	0.00462104	.	2.33526027218589	1
K11_REIMB_202	C1_2DL2	P	A	P	N	ADD	336732	20015	1.10585	0.0355469	1.03143	1.18564	2.8305	0.00464755	.	2.33277592923605	1
VWXY20_CONTACT_W_NONPO_HAND_TOOL	KIR_2DP1	P	A	P	N	ADD	336732	1132	0.59215	0.185346	0.41178	0.851528	-2.82711	0.004697	.	2.32817943981675	1
R18_ILL_D_UNKNO_CAUSES_MORTA	KIR_3DL1	P	A	P	Y	ADD	336732	1573	0.781507	0.0887147	0.656779	0.929923	-2.77891	0.00545409	.	2.26327769987791	1
R18_ILL_D_UNKNO_CAUSES_MORTA	KIR_2DS4	P	A	P	Y	ADD	336732	1573	0.781511	0.0887254	0.656768	0.929947	-2.77853	0.0054606	.	2.26275963524896	1
RX_L04AX	C1_2DL2	P	A	P	N	ADD	336732	18692	1.10684	0.0366864	1.03005	1.18935	2.76689	0.00565935	.	2.24723344648378	1
M13_MUSCULOSKELEOTH	KIR_2DS4	P	A	P	N	ADD	336732	3771	1.21641	0.0711043	1.05817	1.39831	2.75514	0.00586678	.	2.23160019720679	1
M13_MUSCULOSKELEOTH	KIR_3DL1	P	A	P	N	ADD	336732	3771	1.21632	0.0710975	1.0581	1.39819	2.75434	0.00588104	.	2.23054586672614	1
ALCOLIVER	KIR_2DL5	P	A	P	N	ADD	336732	2561	1.1258	0.0431007	1.03461	1.22504	2.74929	0.0059724	.	2.22385111320835	1
J10_RESPDISOTH	KIR_2DL3	P	A	P	N	ADD	336732	5870	1.18004	0.060347	1.0484	1.3282	2.74324	0.00608366	.	2.21583506553455	1
J10_RESPOTHER	KIR_2DL3	P	A	P	N	ADD	336732	5870	1.18004	0.060347	1.0484	1.3282	2.74324	0.00608366	.	2.21583506553455	1
C3_MELANOMA_SKIN	KIR_2DP1	P	A	P	N	ADD	336732	3023	0.714906	0.122532	0.562276	0.908968	-2.7389	0.00616448	.	2.21010355210236	1
CD2_FOLLICULAR_LYMPHOMA	KIR_2DL5	P	A	P	Y	ADD	336732	1021	0.830009	0.0682367	0.726106	0.948781	-2.73047	0.00632442	.	2.19897929661054	1
E4_THYROID	KIR_2DS3	P	A	P	N	ADD	336732	51910	0.967002	0.0123297	0.943914	0.990655	-2.72144	0.00649982	.	2.18709867014009	1
VWXY20_COMPLICATIO_MEDICAL_SURGI_CARE	C1_2DL2	P	A	P	N	ADD	336732	26005	1.09032	0.0318005	1.02443	1.16043	2.71903	0.00654734	.	2.18393510580325	1
Q17_CONGEN_MALFO_EYE_EAR_FACE_NECK	KIR_2DL3	P	A	P	N	ADD	336732	1928	0.783897	0.089557	0.657701	0.934308	-2.71868	0.00655421	.	2.18347964772934	1
CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC	KIR_2DS5	P	A	P	N	ADD	336732	7110	0.927853	0.0275871	0.879016	0.979402	-2.7144	0.0066395	.	2.17786462476106	1
D3_NUTRIANAEMIA	C1_2DL2	P	A	P	N	ADD	336732	15923	0.897186	0.040123	0.829335	0.970589	-2.70397	0.00685158	.	2.16420926702482	1
D3_BLOOD_IMMUN	KIR_2DL5	P	A	P	N	ADD	336732	40368	0.968998	0.0116491	0.947125	0.991377	-2.70341	0.00686319	.	2.16347397796939	1
C3_THYROID_PAPILLARY_ADENO	KIR_2DP1	P	A	P	Y	ADD	336732	1366	0.629151	0.172077	0.449038	0.881509	-2.6929	0.00708342	.	2.14975700664512	1
VWXY20_CONTACT_W_NONPO_HAND_TOOL	KIR_2DL1	P	A	P	N	ADD	336732	1132	0.602388	0.188232	0.416536	0.871164	-2.6927	0.0070875	.	2.14950692809904	1
C3_THYROID_PAPILLARY_ADENO	KIR_2DL5	P	A	P	Y	ADD	336732	1366	1.17504	0.0599046	1.04487	1.32142	2.6926	0.00708964	.	2.1493758170007	1
CD2_BENIGN_SIGMOID_COLON	KIR_2DS4	P	A	P	Y	ADD	336732	4680	1.18958	0.0646418	1.04802	1.35025	2.68552	0.00724179	.	2.14015407316214	1
CD2_BENIGN_SIGMOID_COLON	KIR_3DL1	P	A	P	Y	ADD	336732	4680	1.18945	0.064635	1.04792	1.3501	2.68421	0.00727004	.	2.13846319963182	1
CD2_BENIGN_EAR_RESP	KIR_2DL5	P	A	P	N	ADD	336732	2169	1.1369	0.0478139	1.0352	1.24859	2.68342	0.00728738	.	2.13742858362462	1
K11_ORAL_LICHEN_PLANUS_INCLAVO	KIR_2DS2	P	A	P	Y	ADD	336732	1351	0.85911	0.0566434	0.768836	0.959983	-2.68096	0.00734122	.	2.13423176089594	1
C3_MELANOMA_SKIN	KIR_2DL3	P	A	P	N	ADD	336732	3023	0.825702	0.0714692	0.717775	0.949857	-2.67977	0.00736719	.	2.13269812953598	1
G6_AD_WIDE	Bw4_3DL1	P	A	P	N	ADD	336732	12315	0.794365	0.0860232	0.671115	0.940249	-2.67617	0.00744696	.	2.1280209788847	1
M13_OSTEOCHONDRO	KIR_2DL2	P	A	P	N	ADD	336732	18181	0.958646	0.0158609	0.929303	0.988915	-2.66275	0.00775044	.	2.11067364147462	1
K11_ORAL_LICHEN_PLANUS_INCLAVO	KIR_2DL2	P	A	P	Y	ADD	336732	1351	0.859653	0.0568198	0.769056	0.960922	-2.66151	0.00777911	.	2.10907008735464	1
OPER_SHB00	Bw4_3DL1	P	A	P	N	ADD	336732	3912	0.689229	0.139913	0.523925	0.906689	-2.66008	0.0078121	.	2.1072322060946	1
CD2_BENIGN_COLON	Bw4_3DL1	P	A	P	N	ADD	336732	15596	1.22538	0.0764684	1.05483	1.42351	2.65801	0.00786032	.	2.10455977312022	1
C3_BILIARY_TRACT	KIR_2DS2	P	A	P	Y	ADD	336732	282	0.728505	0.119325	0.576585	0.920453	-2.65462	0.00793977	.	2.10019207807386	1
CD2_BENIGN_LIPO_SKIN_TRUNK	Bw4_3DL1	P	A	P	N	ADD	336732	3509	0.688747	0.140852	0.522597	0.907723	-2.64732	0.00811321	.	2.09080728272289	1
VWXY20_EVENT_UNDET_INTENT	KIR_2DL2	P	A	P	N	ADD	336732	1701	1.1448	0.0510948	1.03571	1.26539	2.6467	0.00812823	.	2.09000401589707	1
R18_ABNORMAL_FINDI_EXAMI_BLOOD_WO_DIAGNOSIS	KIR_2DS3	P	A	P	N	ADD	336732	14510	1.05745	0.0211156	1.01458	1.10213	2.64541	0.00815923	.	2.0883508243993	1
CD2_BENIGN_THYROID	KIR_2DP1	P	A	P	Y	ADD	336732	802	0.567976	0.214106	0.373322	0.864127	-2.64204	0.00824089	.	2.08402588281547	1
CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC	KIR_2DS1	P	A	P	N	ADD	336732	7110	0.934987	0.0254677	0.889462	0.982842	-2.63952	0.00830231	.	2.08080105453063	1
VWXY20_EVENT_UNDET_INTENT	KIR_2DS2	P	A	P	N	ADD	336732	1701	1.14362	0.050954	1.03492	1.26372	2.63366	0.00844691	.	2.07330213310652	1
KRA_PSY_ANYMENTAL	KIR_2DS2	P	A	P	N	ADD	336732	97037	1.0209	0.00786126	1.00529	1.03675	2.63087	0.00851667	.	2.06973018027069	1
VWXY20_FOREI_BODY_OBJECT_ENTERING_SKIN	KIR_2DS2	P	A	P	Y	ADD	336732	1655	0.873943	0.0513385	0.790285	0.966457	-2.62455	0.00867641	.	2.06165993377513	1
CD2_INSITU_OTHER_NOS	KIR_3DS1	P	A	P	N	ADD	336732	823	0.817572	0.0768142	0.703302	0.950409	-2.62212	0.00873835	.	2.05857056433868	1
C3_THYROID_GLAND	KIR_2DL1	P	A	P	Y	ADD	336732	1803	0.666521	0.154784	0.492109	0.902748	-2.62096	0.00876819	.	2.05709004792705	1
CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC	KIR_2DL5	P	A	P	N	ADD	336732	7110	0.933515	0.0262924	0.886628	0.982882	-2.61666	0.00887954	.	2.05160953204079	1
C3_THYROID_GLAND	KIR_2DP1	P	A	P	Y	ADD	336732	1803	0.668696	0.153995	0.494479	0.904294	-2.61324	0.00896886	.	2.04726275507998	1
VWXY20_FOREI_BODY_OBJECT_ENTERING_SKIN	KIR_2DL2	P	A	P	Y	ADD	336732	1655	0.874272	0.0515012	0.790331	0.967129	-2.60894	0.0090823	.	2.04180415689522	1
C3_BILIARY_TRACT	KIR_2DL2	P	A	P	Y	ADD	336732	282	0.732368	0.119636	0.579289	0.925899	-2.60351	0.00922757	.	2.03491265157815	1
KRA_PSY_ANYMENTAL	KIR_2DL2	P	A	P	N	ADD	336732	97037	1.02073	0.00788495	1.00508	1.03663	2.6021	0.00926557	.	2.03312785856417	1
M13_OSTEOCHONDRO	KIR_2DS2	P	A	P	N	ADD	336732	18181	0.959742	0.0158117	0.930456	0.989951	-2.59873	0.00935689	.	2.02886847607773	1
MSMED_FINGOLIMOD	KIR_2DS5	P	A	P	Y	ADD	336732	237	1.42296	0.135767	1.0905	1.85676	2.5981	0.00937417	.	2.02806717484051	1
Q17_ANKYLOGLOSSIA	KIR_3DS1	P	A	P	Y	ADD	336732	416	1.31158	0.104407	1.06887	1.60941	2.59783	0.00938148	.	2.02772864295028	1
CD2_NONHODGKIN_NAS	C1_2DL2	P	A	P	Y	ADD	336732	1028	0.673957	0.152023	0.500299	0.907892	-2.59559	0.00944284	.	2.02489736896107	1
VWXY20_FALL_SAME_LEVEL_INVOLVI_ICE_SNOW	KIR_2DS3	P	A	P	N	ADD	336732	18939	0.952395	0.0187961	0.917948	0.988135	-2.59497	0.00946005	.	2.02410656817889	1
CD2_INSITU_SKIN_TRUNK	KIR_3DS1	P	A	P	Y	ADD	336732	628	1.24468	0.0843564	1.05501	1.46846	2.59473	0.0094665	.	2.02381056076954	1
PDMED_BIPERIDEN	KIR_2DS3	P	A	P	N	ADD	336732	1532	1.17657	0.0627363	1.04044	1.33051	2.59184	0.00954645	.	2.02015809773945	1
CD2_INSITU_SKIN_TRUNK	KIR_2DS5	P	A	P	Y	ADD	336732	628	1.25116	0.0865011	1.05605	1.48233	2.59042	0.00958588	.	2.01836801198767	1
N14_GLOMER_NEPHRITIS	KIR_2DS5	P	A	P	N	ADD	336732	2767	1.11638	0.0425262	1.02711	1.21342	2.58885	0.00962959	.	2.01639220348068	1
OPER_ARTIF_JOINT_MENISC_RESECT	KIR_2DL5	P	A	P	N	ADD	336732	34552	0.968198	0.012498	0.944769	0.992207	-2.58594	0.00971143	.	2.0127168158816	1
U22_PROVI_ASSIG_NEW_DISEA_UNCER_ETIOL	KIR_2DL2	P	A	P	N	ADD	336732	10754	1.05442	0.0205141	1.01287	1.09768	2.5831	0.0097916	.	2.00914633634854	1
RX_BZD	KIR_2DS3	P	A	P	N	ADD	336732	41647	1.03418	0.0130156	1.00813	1.0609	2.58227	0.00981513	.	2.00810394385728	1
VWXY20_OTHER_MISAD_SURGI_MEDICAL_CARE	KIR_2DL5	P	A	P	Y	ADD	336732	471	1.29368	0.0998057	1.06383	1.57319	2.57991	0.00988256	.	2.00513054024431	1
H7_STRABISMUS	KIR_2DL1	P	A	P	N	ADD	336732	8502	1.28105	0.0960462	1.06124	1.5464	2.57877	0.00991526	.	2.00369589314957	1
ALCOLIVER	KIR_2DS3	P	A	P	N	ADD	336732	2561	1.13145	0.0479248	1.03001	1.24288	2.57702	0.00996565	.	2.00149436959702	1
VWXY20_INTENTI_SELF_H_UNSPE_MEANS	KIR_2DL5	P	A	P	Y	ADD	336732	326	1.36295	0.12031	1.07664	1.72539	2.57376	0.0100599	.	1.99740633634411	1
C3_HEART_MEDIASTINUM_PLEURA	KIR_2DS5	P	A	P	Y	ADD	336732	314	1.36074	0.11984	1.07589	1.72101	2.57033	0.0101601	.	1.99310201752115	1
C3_THYROID_PAPILLARY_ADENO	KIR_2DL1	P	A	P	Y	ADD	336732	1366	0.639003	0.174537	0.453875	0.899641	-2.56591	0.0102906	.	1.98755930268242	1
U22_CODES_SPECIAL_PURPO	KIR_2DL2	P	A	P	N	ADD	336732	10776	1.05393	0.0204917	1.01244	1.09712	2.56323	0.0103704	.	1.98420449197716	1
K11_ORAL_LICHEN_WIDE_HYPOT_THYRO	KIR_3DL1	P	A	P	Y	ADD	336732	1209	0.766983	0.103547	0.626104	0.939561	-2.56203	0.0104062	.	1.98270783151881	1
K11_ORAL_LICHEN_WIDE_HYPOT_THYRO	KIR_2DS4	P	A	P	Y	ADD	336732	1209	0.766978	0.103559	0.626085	0.939578	-2.56179	0.0104134	.	1.9824074491489	1
R18_DELAY_MILES_CHILDH	KIR_2DS3	P	A	P	Y	ADD	336732	511	1.34006	0.114281	1.07115	1.67649	2.56137	0.0104259	.	1.98188644492372	1
U22_PROVI_ASSIG_NEW_DISEA_UNCER_ETIOL	KIR_2DS2	P	A	P	N	ADD	336732	10754	1.05373	0.0204554	1.01232	1.09683	2.55833	0.0105176	.	1.97808335007477	1
P16_FET_NEWB_MATERN_FACTO_COMPLICATIO_PREGNAC_LABOUR_DELIV	KIR_2DS5	P	A	P	Y	ADD	336732	346	1.36791	0.122522	1.07588	1.73919	2.55694	0.0105596	.	1.97635253266233	1
CD2_BENIGN_COLON_NOS	C1_2DL2	P	A	P	N	ADD	336732	6527	0.853896	0.0618337	0.756436	0.963913	-2.55437	0.0106382	.	1.97313184912731	1
TRIPTANS3	C1_2DL2	P	A	P	N	ADD	336732	20056	0.912278	0.0360197	0.850095	0.979011	-2.54889	0.0108068	.	1.96630288588758	1
U22_CODES_SPECIAL_PURPO	KIR_2DS2	P	A	P	N	ADD	336732	10776	1.05321	0.0204331	1.01187	1.09625	2.53732	0.0111703	.	1.95193516290991	1
J10_NECROTIC	Bw4_3DL1	P	A	P	Y	ADD	336732	1350	0.563898	0.226082	0.362043	0.878299	-2.53395	0.0112784	.	1.9477525067762	1
C3_SQUOMOUS_CELL_CARCINOMA_SKIN	KIR_3DS1	P	A	P	N	ADD	336732	3112	1.1043	0.0391967	1.02264	1.19248	2.53104	0.0113724	.	1.94414787332756	1
E4_NONTOXIC_THYROID	KIR_2DP1	P	A	P	N	ADD	336732	8720	0.818331	0.0792229	0.700639	0.955793	-2.53069	0.011384	.	1.94370511292377	1
CD2_BENIGN_BRAIN_CNS	KIR_2DL5	P	A	P	Y	ADD	336732	1688	1.14424	0.053267	1.03081	1.27016	2.52958	0.01142	.	1.94233389609017	1
D3_HAEMOLYTICANAEMIA	KIR_2DL5	P	A	P	Y	ADD	336732	897	0.823727	0.0766736	0.708791	0.9573	-2.52911	0.0114351	.	1.94176003313346	1
OFFICIAL_TILASTOKESKUS_DEATH	KIR_2DS3	P	A	P	N	ADD	336732	1854	1.15143	0.0557763	1.03219	1.28444	2.52799	0.0114717	.	1.94037221889805	1
CD2_TNK_LYMPHOMA	KIR_2DS3	P	A	P	Y	ADD	336732	328	1.38227	0.128058	1.07545	1.77662	2.52796	0.0114727	.	1.94033436264709	1
MIGRAINE_TRIPTAN	KIR_2DS2	P	A	P	N	ADD	336732	37833	0.971033	0.0116293	0.949151	0.99342	-2.52766	0.0114826	.	1.93995976369719	1
TRIPTAN1	KIR_2DS2	P	A	P	N	ADD	336732	37833	0.971033	0.0116293	0.949151	0.99342	-2.52766	0.0114826	.	1.93995976369719	1
AB1_OTHER_VIRAL	KIR_3DS1	P	A	P	N	ADD	336732	9988	1.05737	0.0220894	1.01257	1.10415	2.52528	0.0115607	.	1.93701586860291	1
Q17_CONGEN_MALFO_RESPI_SYSTEM	KIR_2DL5	P	A	P	N	ADD	336732	423	0.76592	0.105744	0.62255	0.942308	-2.52191	0.0116719	.	1.93285844195373	1
I9_CVD_HARD	Bw4_3DL1	P	A	P	N	ADD	336732	54792	1.12213	0.0457431	1.0259	1.22738	2.51905	0.0117673	.	1.92932317433723	1
CD2_BENIGN_THYROID	KIR_2DL1	P	A	P	Y	ADD	336732	802	0.578839	0.217719	0.377777	0.886913	-2.51117	0.0120331	.	1.91962247411829	1
ST19_INJURI_INVOLVI_MULTIPLE_BODY_REGIONS	KIR_2DL2	P	A	P	N	ADD	336732	958	0.841878	0.0685654	0.736014	0.962969	-2.51031	0.0120626	.	1.91855907329431	1
C3_SQUOMOUS_CELL_CARCINOMA_SKIN	KIR_2DS1	P	A	P	N	ADD	336732	3112	1.10019	0.038052	1.02113	1.18538	2.50937	0.0120948	.	1.91740130875018	1
N14_UROLITHIASIS	C1_2DL2	P	A	P	N	ADD	336732	9923	1.13402	0.0501353	1.02788	1.25111	2.50852	0.0121239	.	1.91635765442478	1
IBD_DRUGS	KIR_2DS1	P	A	P	N	ADD	336732	58109	0.976291	0.00960228	0.958089	0.994839	-2.49887	0.012459	.	1.90451681417046	1
CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC	KIR_3DS1	P	A	P	N	ADD	336732	7110	0.936731	0.026243	0.889768	0.986173	-2.49053	0.0127552	.	1.89431272731563	1
C3_BLADDER	KIR_2DS1	P	A	P	N	ADD	336732	2011	1.12292	0.0466195	1.02486	1.23036	2.48675	0.0128915	.	1.88969654705142	1
ASTHMA_HOSPITAL_MAIN	KIR_2DS1	P	A	P	N	ADD	336732	32252	0.969938	0.0123036	0.946828	0.993612	-2.48081	0.0131083	.	1.88245362779823	1
MIGRAINE_TRIPTAN	KIR_2DL2	P	A	P	N	ADD	336732	37833	0.971487	0.0116651	0.949527	0.993954	-2.47985	0.0131438	.	1.88127905787771	1
TRIPTAN1	KIR_2DL2	P	A	P	N	ADD	336732	37833	0.971487	0.0116651	0.949527	0.993954	-2.47985	0.0131438	.	1.88127905787771	1
CD2_INSITU_BLADDER	KIR_3DS1	P	A	P	N	ADD	336732	752	0.819004	0.0806652	0.699236	0.959286	-2.47525	0.0133143	.	1.87568166167932	1
D3_HAEMOLYTICANAEMIA	KIR_2DS1	P	A	P	Y	ADD	336732	897	0.830838	0.0749557	0.717322	0.962318	-2.4724	0.0134209	.	1.87221835958224	1
J10_RESPDISOTH	KIR_2DP1	P	A	P	N	ADD	336732	5870	1.34033	0.118507	1.06253	1.69078	2.47175	0.0134453	.	1.87142950308062	1
J10_RESPOTHER	KIR_2DP1	P	A	P	N	ADD	336732	5870	1.34033	0.118507	1.06253	1.69078	2.47175	0.0134453	.	1.87142950308062	1
HYPOT_THYRO_INCL	KIR_2DS3	P	A	P	N	ADD	336732	43695	0.967944	0.0131971	0.943229	0.993308	-2.46877	0.0135578	.	1.86781077694207	1
C3_GASTRINT_STROM	Bw4_3DL1	P	A	P	Y	ADD	336732	267	0.292688	0.497958	0.110292	0.776726	-2.46737	0.0136109	.	1.86611315678706	1
D3_BLOOD_IMMUN	KIR_2DS1	P	A	P	N	ADD	336732	40368	0.972654	0.0112468	0.951448	0.994333	-2.4653	0.01369	.	1.86359655186601	1
VWXY20_FOREI_BODY_OBJECT_ENTERING_SKIN	KIR_2DS1	P	A	P	Y	ADD	336732	1655	1.13465	0.0512465	1.02622	1.25453	2.46501	0.013701	.	1.86324773367334	1
D3_IMMUNEMECHANISM	KIR_2DS3	P	A	P	N	ADD	336732	5507	0.918692	0.0344155	0.858767	0.982799	-2.46413	0.0137348	.	1.86217766019892	1
KELA_DIAB_INSUL	KIR_2DL1	P	A	P	N	ADD	336732	50140	1.10443	0.0403478	1.02045	1.19531	2.46175	0.0138262	.	1.85929716521229	1
